Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
24-Feb-16,1123,1143.95,1119,1125.4,1134.780831,205289,3771,232958022,24.95,2.4
23-Feb-16,1133,1133,1117.05,1123.95,1123.524964,79735,4061,89584263,15.95,-9.05
22-Feb-16,1133,1133,1114.3,1125.3,1127.184039,107010,5195,120619964,18.7,-7.7
19-Feb-16,1122.9,1133.25,1114.65,1125.55,1125.4395,74901,3834,84296544,18.6,2.65
18-Feb-16,1097,1126.45,1097,1122.7,1115.485247,90760,4871,101241441,29.45,25.7
17-Feb-16,1082,1101.4,1077,1095.45,1082.640122,388379,7721,420474688,24.4,13.45
16-Feb-16,1090,1092,1075.15,1081,1081.060742,290852,10738,314428679,16.85,-9
15-Feb-16,1090,1099.95,1083.5,1091.35,1084.389478,1511012,7563,1638525514,16.45,1.35
12-Feb-16,1086,1103.5,1067,1083.5,1082.44659,162881,6373,176309983,36.5,-2.5
11-Feb-16,1114,1114,1072.35,1081.15,1091.015133,122451,7071,133595894,41.65,-32.85
10-Feb-16,1108,1127,1105.55,1110.15,1116.272301,119313,6153,133185797,21.45,2.15
09-Feb-16,1130,1130,1094,1109.3,1107.255067,151274,9847,167498903,36,-20.7
08-Feb-16,1170,1171.8,1143.35,1149.1,1158.533171,105756,4699,122521834,28.45,-20.9
05-Feb-16,1179,1185.45,1172.1,1174.95,1178.51296,64237,3874,75704137,13.35,-4.05
04-Feb-16,1164,1193.6,1161.75,1179.9,1182.098729,111132,7069,131368996,31.85,15.9
03-Feb-16,1171,1175,1152.7,1158.15,1165.086437,59095,3428,68850783,22.3,-12.85
02-Feb-16,1172,1188.25,1168,1174.8,1178.962424,159252,7904,187752124,20.25,2.8
01-Feb-16,1170,1179.85,1163,1171.3,1171.14298,81396,5095,95326354,16.85,1.3
29-Jan-16,1135,1169.7,1132,1164.85,1152.485257,253783,7642,292481166,37.7,29.85
28-Jan-16,1138,1142.5,1127.7,1131.35,1133.578654,51720,3566,58628688,14.8,-6.65
27-Jan-16,1149.4,1149.85,1136,1138.35,1141.078176,65148,4088,74338961,13.85,-11.05
25-Jan-16,1140,1146.95,1125.6,1137.65,1136.017575,82957,3467,94240610,21.35,-2.35
22-Jan-16,1140,1152,1130,1135.9,1140.110794,114510,5753,130554087,22,-4.1
21-Jan-16,1128,1142.5,1122.5,1136.5,1131.66244,158126,7518,178945255,20,8.5
20-Jan-16,1139.1,1145,1116.6,1121.65,1127.549939,210916,9135,237818323,28.4,-17.45
19-Jan-16,1135,1158.7,1129.5,1139.1,1143.895702,357103,8478,408488587,29.2,4.1
18-Jan-16,1138,1161.45,1128,1131.95,1145.26009,182391,8803,208885133,33.45,-6.05
15-Jan-16,1145,1163.45,1136.55,1140.2,1147.730273,245741,12004,282044385,26.9,-4.8
14-Jan-16,1068,1155,1054.95,1128.7,1129.607289,1741690,53179,1967425719,100.05,60.7
13-Jan-16,1050,1090,1047.6,1082.35,1073.402203,246428,9900,264516358,42.4,32.35
12-Jan-16,1059,1061.5,1031.85,1050.05,1046.01341,139898,6383,146335184,29.65,-8.95
11-Jan-16,1060,1069.45,1052.5,1057.1,1057.529268,257718,5613,272544328,16.95,-2.9
08-Jan-16,1056,1068.5,1055.9,1062.65,1061.364093,84418,4808,89598234,12.6,6.65
07-Jan-16,1060,1067.95,1048.3,1051.25,1057.655126,96322,5195,101875457,19.65,-8.75
06-Jan-16,1073,1074.5,1059.1,1069.45,1066.849403,108090,4874,115315752,15.4,-3.55
05-Jan-16,1083,1088,1063,1074.8,1073.710381,118328,5022,127050002,25,-8.2
04-Jan-16,1103.15,1103.15,1077.5,1080.6,1087.911066,86761,4826,94388252,25.65,-22.55
01-Jan-16,1100,1108.9,1094.3,1103.15,1102.540583,54123,2595,59672804,14.6,3.15
31-Dec-15,1088,1109,1088,1104.55,1098.095683,80683,3749,88597654,21,16.55
30-Dec-15,1100,1106.35,1083.5,1086.05,1091.397716,91402,3251,99755934,22.85,-13.95
29-Dec-15,1101.1,1109.65,1097.5,1103.75,1104.278473,56203,3066,62063763,12.15,2.65
28-Dec-15,1092.7,1107.6,1090,1101.65,1103.12382,79575,3689,87781078,17.6,8.95
24-Dec-15,1100,1103.4,1090.4,1095.85,1095.373823,44727,2099,48992785,13,-4.15
23-Dec-15,1088,1100,1087,1098,1095.463663,84969,3308,93080452,13,10
22-Dec-15,1100,1100,1080.5,1083.6,1086.846646,101654,3842,110482309,19.5,-16.4
21-Dec-15,1075,1104.75,1070.9,1102,1092.875323,113148,5499,123656657,33.85,27
18-Dec-15,1098,1102.95,1080.1,1085.95,1091.414916,181304,6650,197877890,22.85,-12.05
17-Dec-15,1100,1110,1088,1106.95,1098.902957,239233,6472,262893851,22,6.95
16-Dec-15,1080,1097.8,1080,1095.4,1091.899879,114102,5246,124587960,17.8,15.4
15-Dec-15,1075,1079.8,1058.15,1076.9,1071.091723,122227,4840,130916328,21.65,1.9
14-Dec-15,1050,1073.3,1049,1069.5,1065.556262,152225,7336,162204302,24.3,19.5
11-Dec-15,1050.1,1060.9,1046,1052.35,1052.836209,183240,6780,192921707,14.9,2.25
10-Dec-15,1035.1,1051.5,1030.45,1046.4,1040.239822,214797,7345,223440393,21.05,11.3
09-Dec-15,1044,1047.6,1023.5,1029.35,1036.028638,371357,11241,384736487,24.1,-14.65
08-Dec-15,1045,1062,1041.1,1044.95,1051.386745,92596,4845,97354207,20.9,-0.05
07-Dec-15,1052,1058.55,1040.25,1045.85,1048.980662,89772,4081,94169092,18.3,-6.15
04-Dec-15,1053,1063.6,1040.9,1047.8,1046.242827,313869,7232,328383190,22.7,-5.2
03-Dec-15,1062.5,1065.25,1050,1056,1059.553565,177130,5443,187678723,15.25,-6.5
02-Dec-15,1082,1082,1058.05,1060.2,1064.217543,100417,5128,106865533,23.95,-21.8
01-Dec-15,1088.5,1093.05,1072,1076.65,1081.44687,103209,5433,111615050,21.05,-11.85
30-Nov-15,1070,1098,1056,1088.45,1079.588398,150439,7823,162412199,42,18.45
27-Nov-15,1050,1069.65,1046.2,1066.3,1059.490909,117372,6761,124354567,23.45,16.3
26-Nov-15,1044,1058.7,1035,1053.2,1051.794587,123381,6058,129771468,23.7,9.2
24-Nov-15,1045,1050,1037,1041,1043.321353,120699,6339,125927844,13,-4
23-Nov-15,1051.5,1061.3,1038.05,1053.5,1053.030878,125236,7038,131877375,23.25,2
20-Nov-15,1050,1062,1042.65,1052.9,1055.093163,141064,7655,148835662,19.35,2.9
19-Nov-15,1032,1051.75,1024.6,1047.3,1037.370318,300690,8191,311926881,27.15,15.3
18-Nov-15,1044,1044.35,1012.25,1019.85,1030.780529,408814,17648,421397511,32.1,-24.15
17-Nov-15,1082,1084,1052.05,1061.1,1061.597432,331519,11824,351939719,31.95,-20.9
16-Nov-15,1085,1093.75,1067.1,1080.2,1080.908717,159011,10148,171876376,26.65,-4.8
13-Nov-15,1107,1107,1090,1100.45,1097.050736,88143,4771,96697343,17,-6.55
11-Nov-15,1115,1119.45,1104,1109.15,1110.732908,60395,3505,67082714,15.45,-5.85
10-Nov-15,1134,1134,1102,1106.4,1115.708963,113628,4853,126775778,32,-27.6
09-Nov-15,1120,1137.65,1115,1133.95,1125.726449,91972,4417,103535313,22.65,13.95
06-Nov-15,1125,1142.7,1125,1138.05,1137.45625,81166,4648,92322774,17.7,13.05
05-Nov-15,1139,1144.85,1117.05,1122.45,1135.314619,145382,3336,165054310,27.8,-16.55
04-Nov-15,1148,1155.6,1133.1,1137.05,1142.532121,92385,4374,105552830,22.5,-10.95
03-Nov-15,1134,1149,1134,1143,1142.647384,108784,5540,124301753,15,9
02-Nov-15,1130,1135,1114.3,1131.55,1124.169424,80325,4377,90298909,20.7,1.55
30-Oct-15,1142.7,1144,1130.5,1136.05,1134.936642,74766,3673,84854673,13.5,-6.65
29-Oct-15,1150,1155,1136,1142.7,1143.200704,67592,4072,77271222,19,-7.3
28-Oct-15,1146,1160,1139.5,1151.35,1147.340902,97512,4264,111879506,20.5,5.35
27-Oct-15,1151,1154,1144,1148.45,1149.343724,64063,3069,73630407,10,-2.55
26-Oct-15,1150,1157.25,1143,1151.4,1150.455605,108324,4300,124621953,14.25,1.4
23-Oct-15,1140,1152,1125.1,1148.55,1141.497704,149197,6685,170308033,26.9,8.55
21-Oct-15,1125.95,1146,1125.35,1137.6,1138.107236,171006,7815,194623166,20.65,11.65
20-Oct-15,1113,1129.8,1111.6,1125.35,1121.551443,170023,8083,190689541,18.2,12.35
19-Oct-15,1100,1117,1100,1112.2,1109.1785,158370,7142,175660599,17,12.2
16-Oct-15,1100,1103.2,1090,1093.75,1094.46797,145067,6592,158771185,13.2,-6.25
15-Oct-15,1102,1108,1089,1097,1095.912532,207401,9216,227293355,19,-5
14-Oct-15,1090,1115,1090,1097.45,1104.108694,240004,10864,264990503,25,7.45
13-Oct-15,1107,1114.8,1087.1,1098.65,1097.437379,458188,20085,502832638,27.7,-8.35
12-Oct-15,1202.7,1219,1108.9,1122.5,1147.698839,1271136,50172,1458881311,110.1,-80.2
09-Oct-15,1133,1172.6,1133,1167.85,1153.635926,363649,10849,419518551,39.6,34.85
08-Oct-15,1140,1149.65,1126,1132.45,1137.629618,141959,7735,161496763,23.65,-7.55
07-Oct-15,1157.9,1168.9,1128.35,1133.15,1145.6042,203853,8252,233534853,40.55,-24.75
06-Oct-15,1185,1190,1148.6,1154.85,1160.663611,201793,10599,234213792,41.4,-30.15
05-Oct-15,1176.05,1188.9,1162.55,1180.5,1176.361596,149537,7897,175909584,26.35,4.45
01-Oct-15,1169.9,1197,1162.35,1173.25,1180.559739,217864,11948,257201467,34.65,3.35
30-Sep-15,1133,1165.35,1127.55,1160.45,1150.698916,217212,8901,249945613,37.8,27.45
29-Sep-15,1102,1132,1098,1121.1,1120.357722,167616,7461,187789880,34,19.1
28-Sep-15,1140,1143.35,1103.05,1108.2,1116.439211,152660,10450,170435610,40.3,-31.8
24-Sep-15,1111,1149.6,1110.05,1141.4,1138.267448,198943,10331,226450341,39.55,30.4
23-Sep-15,1109.8,1126,1097.5,1116.65,1113.757604,111417,4650,124091531,28.5,6.85
22-Sep-15,1115,1135.4,1100,1105.5,1121.441003,189121,8809,212088044,35.4,-9.5
21-Sep-15,1105,1108.8,1093.55,1104.65,1102.969728,87241,3521,96224182,15.25,-0.35
18-Sep-15,1110,1118,1099.25,1104.75,1111.452137,143076,4135,159022126,18.75,-5.25
16-Sep-15,1105,1108.45,1098.2,1101.5,1102.068437,254703,2854,280700137,10.25,-3.5
15-Sep-15,1099,1104.3,1088.1,1098.4,1097.9175,85527,3608,93901590,16.2,-0.6
14-Sep-15,1096.2,1100,1082.55,1097.75,1094.139899,87985,6210,96267899,17.45,1.55
11-Sep-15,1092,1105.45,1085.25,1090.7,1095.114247,132213,6020,144788340,20.2,-1.3
10-Sep-15,1088,1091,1061.7,1080.35,1079.297353,124828,5696,134726530,29.3,-7.65
09-Sep-15,1088,1099,1072.5,1088.5,1088.288344,147657,5827,160693392,26.5,0.5
08-Sep-15,1063,1074.45,1052.35,1059.3,1064.750386,144972,5560,154358993,22.1,-3.7
07-Sep-15,1081,1084,1055,1059.6,1065.613619,114695,5734,122220554,29,-21.4
04-Sep-15,1107.8,1110,1068,1073.8,1078.089484,158330,8850,170693908,42,-34
03-Sep-15,1110,1111.05,1093.95,1100.65,1101.178766,84826,4220,93408590,17.1,-9.35
02-Sep-15,1100,1114.6,1090.1,1100.3,1103.972364,157076,6925,173407563,24.5,0.3
01-Sep-15,1089.95,1114.4,1082.1,1089.65,1101.27923,194363,9176,214047935,32.3,-0.3
31-Aug-15,1130,1130,1083.6,1095.2,1100.559999,194970,10534,214576183,46.4,-34.8
28-Aug-15,1095.2,1124,1095,1110.7,1114.281491,170300,8106,189762138,29,15.5
27-Aug-15,1090,1098.9,1076.5,1084.1,1087.539083,119885,5994,130379623,22.4,-5.9
26-Aug-15,1099,1099,1059.6,1065.35,1076.623152,187394,8081,201752719,39.4,-33.65
25-Aug-15,1096,1120,1045,1086.5,1084.461017,252522,11367,273850265,75,-9.5
24-Aug-15,1120,1123,1080.05,1092.65,1108.563774,340349,14281,377298572,42.95,-27.35
21-Aug-15,1141,1159.4,1119.1,1150.6,1145.480171,232617,9274,266458161,40.3,9.6
20-Aug-15,1170,1170,1130.2,1138.2,1141.766983,238532,11235,272347962,39.8,-31.8
19-Aug-15,1166,1186,1163.8,1175.05,1178.013424,284572,7715,335229636,22.2,9.05
18-Aug-15,1147,1177,1147,1163.8,1167.3674,182975,7294,213599050,30,16.8
17-Aug-15,1150,1150.75,1122.5,1141.85,1135.437869,94446,5825,107237565,28.25,-8.15
14-Aug-15,1166,1168.8,1143,1149,1157.437879,184615,9402,213680394,25.8,-17
13-Aug-15,1147,1166,1130,1156.85,1155.98358,295308,11818,341371199,36,9.85
12-Aug-15,1110,1147,1110,1141.75,1135.052989,254659,9800,289051459,37,31.75
11-Aug-15,1098.9,1115,1073.5,1104.35,1104.32759,228334,10198,252155536,41.5,5.45
10-Aug-15,1097,1106,1068.1,1081.95,1092.047023,102736,4320,112192543,37.9,-15.05
07-Aug-15,1089.45,1100.9,1080,1095.6,1095.602152,102142,4011,111906995,20.9,6.15
06-Aug-15,1090.2,1105.95,1079,1089.45,1090.620319,185927,6851,202775764,26.95,-0.75
05-Aug-15,1065,1090,1065,1086.55,1080.563364,107932,4177,116627365,25,21.55
04-Aug-15,1078,1080,1053,1059.8,1061.55283,176101,9777,186940515,27,-18.2
