Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Momentum,Change,ROC1,ROC2,WR5,MA5,MA10
01-Jan-14,3491.0,3497.0,3461.4,3466.4,3471.602807,23588,2034,81888167,35.6,-24.6,0,0.0,0.0,0.0,0.0,0.0,0.0
02-Jan-14,3466.4,3507.4,3464.95,3474.75,3483.7025009999998,36669,2891,127743887,42.45,8.35,1,0.0010255965794186534,100.10255965794185,0.0,0.0,0.0,0.0
03-Jan-14,3471.0,3572.05,3456.0,3565.45,3536.575418,79789,7999,282179816,116.05,94.45,0,0.0025830098558420234,99.7416990144158,99.84399375975038,0.0,0.0,0.0
06-Jan-14,3580.0,3581.0,3470.0,3514.2,3527.098011,73512,6577,259284029,111.0,-65.8,1,0.004050925925925926,100.40509259259258,100.14574524884921,0.0,0.0,0.0
07-Jan-14,3510.0,3522.25,3447.0,3457.4,3477.993172,40126,3776,139557954,75.25,-52.6,0,0.006628242074927954,99.33717579250721,99.73958333333334,0.0,0.0,0.0
08-Jan-14,3466.0,3474.0,3420.85,3428.5,3437.022132,41931,3802,144117775,53.15,-37.5,0,0.0075863069335654456,99.24136930664346,98.5835734870317,213.69565217391343,3459.87,0.0
09-Jan-14,3435.6,3481.95,3417.3,3451.05,3453.108805,91099,12049,314574759,64.65,15.45,0,0.0010377537746465723,99.89622462253534,99.1383812010444,107.22278738555386,3451.7599999999998,0.0
10-Jan-14,3494.0,3575.2,3449.0,3548.9,3536.9717920000003,494995,36950,1750783352,126.2,54.9,1,0.009276329265794579,100.92763292657945,100.82289489454375,39.84819734345365,3442.2300000000005,0.0
13-Jan-14,3572.0,3674.4,3572.0,3665.7,3660.3033159999995,200784,14872,734930341,102.4,93.7,1,0.03566251087271673,103.56625108727167,104.52696573318117,-193.54838709677486,3440.8300000000004,0.0
14-Jan-14,3636.0,3697.3,3636.0,3688.85,3671.847387,58999,6366,216635324,61.3,52.85,1,0.01791713325867861,101.79171332586787,105.42186140910408,-41.37039431157083,3461.2300000000005,0.0
15-Jan-14,3685.1,3723.1,3678.0,3710.55,3704.7369020000006,137443,8415,509190154,45.1,25.45,1,0.01155115511551155,101.15511551155116,102.96752519596863,-19.20438957475996,3499.03,3479.45
16-Jan-14,3704.0,3737.0,3695.0,3724.7,3718.4188,162039,5773,602528864,42.0,20.7,1,0.004622077215878194,100.46220772158783,101.62266226622663,-6.520905255082475,3550.46,3501.1099999999997
17-Jan-14,3725.0,3759.9,3723.1,3728.05,3739.838832,138160,11792,516696133,36.8,3.05,1,0.007604871447902547,100.76048714479025,101.22620989668299,-11.422764227642238,3606.0,3524.1150000000002
